Step,Loss
10,0.6731
20,0.729
30,0.6744
40,0.6495
50,0.6703
60,0.6626
70,0.6274
80,0.6783
90,0.6252
100,0.6808
110,0.6732
120,0.6373
130,0.6463
140,0.668
150,0.6663
160,0.619
170,0.6106
180,0.7013
190,0.6658
200,0.5906
210,0.5976
220,0.5629
230,0.5751
240,0.5506
250,0.5213
260,0.6319
270,0.5791
280,0.5607
290,0.5248
300,0.4888
310,0.4359
320,0.5223
330,0.4957
340,0.4078
350,0.4301
360,0.4918
370,0.396
380,0.337
390,0.513
400,0.455
410,0.5111
420,0.5445
430,0.424
440,0.4781
450,0.4111
460,0.3328
470,0.3481
480,0.4071
490,0.3096
500,0.3772
510,0.4478
520,0.4339
530,0.4648
540,0.374
550,0.449
560,0.4277
570,0.406
580,0.489
590,0.2874
600,0.326
610,0.3989
620,0.3786
630,0.3241
640,0.3209
650,0.3353
660,0.277
670,0.3337
680,0.3878
690,0.3267
700,0.2923
710,0.3136
720,0.3811
730,0.2955
740,0.2071
750,0.2476
760,0.2502
770,0.2002
780,0.1662
790,0.3353
800,0.2848
810,0.2104
820,0.2834
830,0.2613
840,0.1935
850,0.2244
860,0.25
870,0.2019
880,0.172
890,0.2246
900,0.1427
910,0.0745
920,0.0915
930,0.1365
940,0.1396
950,0.18
960,0.1207
970,0.1395
980,0.1491
990,0.1712
1000,0.0879
1010,0.1637
1020,0.234
1030,0.1199
1040,0.115
1050,0.0899
1060,0.1077
1070,0.2156
1080,0.0226
1090,0.1691
1100,0.1071
1110,0.0724
1120,0.0982
1130,0.1092
1140,0.0649
1150,0.1444
1160,0.113
