Step,Loss
10,0.6834
20,0.6692
30,0.6809
40,0.6514
50,0.6827
60,0.6839
70,0.6363
80,0.6895
90,0.6598
100,0.648
110,0.6639
120,0.6392
130,0.6906
140,0.6889
150,0.6478
160,0.6884
170,0.6205
180,0.5868
190,0.6422
200,0.6178
210,0.6514
220,0.6446
230,0.6423
240,0.6385
250,0.6278
260,0.6339
270,0.6279
280,0.5966
290,0.6303
300,0.6162
310,0.5657
320,0.5906
330,0.6144
340,0.5777
350,0.5561
360,0.5665
370,0.5938
380,0.5748
390,0.5331
400,0.4879
410,0.534
420,0.506
430,0.5435
440,0.4582
450,0.485
460,0.4005
470,0.431
480,0.417
490,0.3865
500,0.3552
510,0.3952
520,0.4196
530,0.4237
540,0.4989
550,0.3862
560,0.4552
570,0.4127
580,0.4043
590,0.3053
600,0.2527
610,0.3597
620,0.3146
630,0.2574
640,0.3104
650,0.2426
660,0.2714
670,0.254
680,0.2689
690,0.317
700,0.2256
710,0.2899
720,0.2542
730,0.1695
740,0.0912
750,0.1178
760,0.1239
770,0.1264
780,0.2662
790,0.1636
800,0.2164
810,0.1939
820,0.1445
830,0.0864
840,0.1324
850,0.2553
860,0.096
870,0.1947
880,0.036
890,0.152
900,0.0594
910,0.0626
920,0.096
930,0.1049
940,0.0896
950,0.0867
960,0.1547
970,0.0927
980,0.1617
990,0.1002
1000,0.1485
1010,0.075
