Step,Loss
10,0.6183
20,0.6912
30,0.6785
40,0.6816
50,0.6517
60,0.7099
70,0.7248
80,0.6655
90,0.635
100,0.6864
110,0.6292
120,0.6312
130,0.6548
140,0.6696
150,0.6919
160,0.6637
170,0.6276
180,0.6572
190,0.6876
200,0.6577
210,0.6125
220,0.6535
230,0.5926
240,0.6088
250,0.5681
260,0.5578
270,0.5835
280,0.5136
290,0.4492
300,0.4146
310,0.534
320,0.437
330,0.4315
340,0.3987
350,0.4597
360,0.4756
370,0.4467
380,0.4708
390,0.5082
400,0.4354
410,0.4408
420,0.4829
430,0.4264
440,0.4138
450,0.3761
460,0.3975
470,0.3204
480,0.3006
490,0.39
500,0.3444
510,0.4043
520,0.431
530,0.4308
540,0.4029
550,0.3849
560,0.4584
570,0.4385
580,0.4301
590,0.3908
600,0.3122
610,0.3422
620,0.2812
630,0.2309
640,0.2862
650,0.3158
660,0.3223
670,0.3294
680,0.333
690,0.3204
700,0.2674
710,0.3166
720,0.3135
730,0.3299
740,0.2006
750,0.23
760,0.2581
770,0.2114
780,0.1786
790,0.2211
800,0.3223
810,0.1512
820,0.2285
830,0.2846
840,0.1799
850,0.3368
860,0.2363
870,0.1244
