Step,Loss
10,0.7932
20,0.7441
30,0.7376
40,0.7086
50,0.6993
60,0.6385
70,0.6505
80,0.6596
90,0.6939
100,0.6732
110,0.6727
120,0.6391
130,0.6282
140,0.6503
150,0.6247
160,0.6196
170,0.6274
180,0.6405
190,0.629
200,0.5774
210,0.5811
220,0.5619
230,0.5344
240,0.5238
250,0.4659
260,0.5055
270,0.5197
280,0.4712
290,0.4296
300,0.4258
310,0.5646
320,0.4353
330,0.4593
340,0.4107
350,0.4844
360,0.3435
370,0.4864
380,0.4698
390,0.3496
400,0.4823
410,0.489
420,0.3576
430,0.4439
440,0.4001
450,0.3805
460,0.3878
470,0.4626
480,0.3358
490,0.4201
500,0.3374
510,0.4027
520,0.3473
530,0.2929
540,0.4723
550,0.3829
560,0.3162
570,0.4192
580,0.3641
590,0.2923
600,0.2691
610,0.3563
620,0.3119
630,0.2593
640,0.3838
650,0.3102
660,0.3001
670,0.3187
680,0.3453
690,0.3135
700,0.2835
710,0.2094
720,0.3259
730,0.2807
740,0.1671
750,0.1239
760,0.1521
770,0.2065
780,0.1586
790,0.1986
800,0.3365
810,0.1716
820,0.1106
830,0.3129
840,0.3132
850,0.2843
860,0.1918
870,0.1413
880,0.0852
890,0.2341
900,0.1139
910,0.1436
920,0.1828
930,0.1563
940,0.1422
950,0.0881
960,0.0507
970,0.0851
980,0.0813
990,0.215
1000,0.0945
1010,0.0546
