Step,Loss
10,0.6771
20,0.6549
30,0.6059
40,0.6787
50,0.7113
60,0.6904
70,0.6386
80,0.7116
90,0.651
100,0.6892
110,0.6698
120,0.6651
130,0.6291
140,0.6586
150,0.6084
160,0.6339
170,0.6442
180,0.5966
190,0.6249
200,0.5875
210,0.4929
220,0.5284
230,0.5057
240,0.4696
250,0.5478
260,0.4856
270,0.5376
280,0.505
290,0.4585
300,0.47
310,0.4048
320,0.4207
330,0.4763
340,0.5033
350,0.5163
360,0.473
370,0.4074
380,0.5967
390,0.4873
400,0.4849
410,0.3604
420,0.4747
430,0.5446
440,0.5131
450,0.4451
460,0.4053
470,0.3889
480,0.4164
490,0.4916
500,0.406
510,0.376
520,0.4803
530,0.3293
540,0.453
550,0.4962
560,0.4008
570,0.4816
580,0.443
590,0.33
600,0.3956
610,0.3026
620,0.3293
630,0.364
640,0.3644
650,0.2306
660,0.3421
670,0.3669
680,0.271
690,0.3506
700,0.4043
710,0.3051
720,0.3774
730,0.3481
740,0.2578
750,0.3404
760,0.2692
770,0.3129
780,0.1692
790,0.1625
800,0.2174
810,0.2577
820,0.2711
830,0.3318
840,0.2476
850,0.2561
860,0.1897
870,0.2059
880,0.2486
890,0.1508
900,0.1682
910,0.061
920,0.2347
930,0.1595
940,0.1424
950,0.195
960,0.2621
970,0.1233
980,0.1208
990,0.1934
1000,0.1624
1010,0.1398
