Step,Loss
10,0.6514
20,0.6946
30,0.648
40,0.7075
50,0.657
60,0.6649
70,0.6727
80,0.6618
90,0.6433
100,0.6531
110,0.6801
120,0.6265
130,0.6646
140,0.6406
150,0.6239
160,0.609
170,0.6206
180,0.6306
190,0.625
200,0.568
210,0.5942
220,0.5334
230,0.4937
240,0.4986
250,0.4829
260,0.4225
270,0.4762
280,0.4478
290,0.5206
300,0.4499
310,0.4262
320,0.4418
330,0.4894
340,0.418
350,0.4254
360,0.5155
370,0.4303
380,0.4092
390,0.4058
400,0.4205
410,0.3973
420,0.3468
430,0.4825
440,0.4007
450,0.2802
460,0.2941
470,0.4589
480,0.3192
490,0.34
500,0.4668
510,0.3189
520,0.3729
530,0.4077
540,0.4706
550,0.3652
560,0.3471
570,0.3206
580,0.432
590,0.281
600,0.2532
610,0.2696
620,0.3234
630,0.3027
640,0.2203
650,0.234
660,0.2683
670,0.2284
680,0.2571
690,0.2554
700,0.3902
710,0.2763
720,0.2706
730,0.2844
740,0.1804
750,0.2457
760,0.1819
770,0.1832
780,0.1589
790,0.1532
800,0.1799
810,0.1282
820,0.3721
830,0.2687
840,0.2114
850,0.1849
860,0.1544
870,0.251
880,0.1556
890,0.1142
900,0.105
910,0.0625
920,0.1728
930,0.1266
940,0.19
950,0.2524
960,0.097
970,0.0723
980,0.1565
990,0.0687
1000,0.1615
1010,0.1898
