Model,Accuracy,Precision,Recall,F1
Baseline RF,0.7607044198895028,0.7573551596477508,0.7607044198895028,0.7583737498605994
Baseline (Input),0.7669198895027625,0.7670670535770617,0.7669198895027625,0.7669926254723539
Baseline FinBERT,0.7903075489282386,0.7975876958948074,0.7903075489282386,0.7917207032395608
Mistral 7B (sentiment),0.8062845303867403,0.8036826610823873,0.8062845303867403,0.8021657727979387
DeepSeek R1 (Distill LLaMA 8B),0.8073204419889503,0.8076515996845384,0.8073204419889503,0.8074796234089389
Mistral 7B,0.8214779005524862,0.8244847826481484,0.8214779005524862,0.8139638024701101
Mistral 7B (Input),0.8263121546961326,0.8248764242228503,0.8263121546961326,0.8224535683415344
DeepSeek R1 (Distill LLaMA 8B) (Input),0.825621546961326,0.8236253551636363,0.825621546961326,0.8227121999540067
"Mistral 7B (FT, Dynamic Prompt)",0.8276933701657458,0.825908952357109,0.8276933701657458,0.8262373120098407
Mistral 7B (Finetuned),0.830110497237569,0.8287281620829188,0.830110497237569,0.8265251174852205
DeepSeek R1 (Distill Qwen 32B),0.8297651933701657,0.8279539223883531,0.8297651933701657,0.8281956157603205
DeepSeek R1 (Distill Qwen 32B) (Input),0.8314917127071824,0.8296733739326971,0.8314917127071824,0.8298284619976357
GPT4oMini,0.8394337016574586,0.8418620486256445,0.8394337016574586,0.8338627033931983
